company_id_1,gl_account_name,warehouse,credit,debit,id,move_line_id,date,invoice_origin,name,move_type,gl_account_id,product_id_0,price_unit,quantity,company_id_0,producer,is_mto
TD Lagos,400000 Sales,Unknown Warehouse,0.00,86001.44,6192181,-1,15-Jan-2024,False,MISC/2024/01/000000297,entry,193,,0,1,3,Arla Foods,False
TD Lagos,400000 Sales,Unknown Warehouse,0.00,7827.79,6192181,-1,15-Jan-2024,False,MISC/2024/01/000000297,entry,193,,0,1,3,Ayoola Foods Limited,False
TD Lagos,400000 Sales,Unknown Warehouse,0.00,9902.39,6192181,-1,15-Jan-2024,False,MISC/2024/01/000000297,entry,193,,0,1,3,Chi Nigeria Limited,False
TD Lagos,400000 Sales,Unknown Warehouse,0.00,381635.57,6192181,-1,15-Jan-2024,False,MISC/2024/01/000000297,entry,193,,0,1,3,Coca-Cola Company,False
TD Lagos,400000 Sales,Unknown Warehouse,0.00,58214.15,6192181,-1,15-Jan-2024,False,MISC/2024/01/000000297,entry,193,,0,1,3,Crown Flour Mill Ltd,False
TD Lagos,400000 Sales,Unknown Warehouse,0.00,31974.42,6192181,-1,15-Jan-2024,False,MISC/2024/01/000000297,entry,193,,0,1,3,Cubana FMCG Ltd,False
TD Lagos,400000 Sales,Unknown Warehouse,0.00,19187.57,6192181,-1,15-Jan-2024,False,MISC/2024/01/000000297,entry,193,,0,1,3,Dangote Group,False
TD Lagos,400000 Sales,Unknown Warehouse,0.00,102155.16,6192181,-1,15-Jan-2024,False,MISC/2024/01/000000297,entry,193,,0,1,3,DUFIL Prima foods Plc,False
TD Lagos,400000 Sales,Unknown Warehouse,0.00,3350.67,6192181,-1,15-Jan-2024,False,MISC/2024/01/000000297,entry,193,,0,1,3,Eko Supreme,False
TD Lagos,400000 Sales,Unknown Warehouse,0.00,8672.11,6192181,-1,15-Jan-2024,False,MISC/2024/01/000000297,entry,193,,0,1,3,Evans Industries Limited,False
TD Lagos,400000 Sales,Unknown Warehouse,0.00,124580.31,6192181,-1,15-Jan-2024,False,MISC/2024/01/000000297,entry,193,,0,1,3,Flour Mills of Nigeria,False
TD Lagos,400000 Sales,Unknown Warehouse,0.00,130329.81,6192181,-1,15-Jan-2024,False,MISC/2024/01/000000297,entry,193,,0,1,3,Frutta Juice & Services Ltd,False
TD Lagos,400000 Sales,Unknown Warehouse,0.00,12323.19,6192181,-1,15-Jan-2024,False,MISC/2024/01/000000297,entry,193,,0,1,3,GB Foods,False
TD Lagos,400000 Sales,Unknown Warehouse,0.00,139762.98,6192181,-1,15-Jan-2024,False,MISC/2024/01/000000297,entry,193,,0,1,3,Grand Oak,False
TD Lagos,400000 Sales,Unknown Warehouse,0.00,126539.29,6192181,-1,15-Jan-2024,False,MISC/2024/01/000000297,entry,193,,0,1,3,Guinness Nigeria Plc,False
TD Lagos,400000 Sales,Unknown Warehouse,0.00,805.93,6192181,-1,15-Jan-2024,False,MISC/2024/01/000000297,entry,193,,0,1,3,HELL ENERGY MAGYARORSZAG KFT,False
TD Lagos,400000 Sales,Unknown Warehouse,0.00,1456.91,6192181,-1,15-Jan-2024,False,MISC/2024/01/000000297,entry,193,,0,1,3,Holden International Limited,False
